Year,Time series,Value
2010,Population using safely managed drinking water services,100.0
2011,Population using safely managed drinking water services,100.0
2012,Population using safely managed drinking water services,100.0
2013,Population using safely managed drinking water services,100.0
2014,Population using safely managed drinking water services,100.0
2015,Population using safely managed drinking water services,100.0
2016,Population using safely managed drinking water services,100.0
2017,Population using safely managed drinking water services,100.0
2018,Population using safely managed drinking water services,100.0
2010,Population connected to the public water supply system,99.3
2013,Population connected to the public water supply system,99.3
2016,Population connected to the public water supply system,99.4
