Year,Time series,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,(1) tier-1 capital to assets,,,,4.3
2011,(1) tier-1 capital to assets,,,,4.36
2012,(1) tier-1 capital to assets,,,,4.73
2013,(1) tier-1 capital to assets,,,,5.45
2014,(1) tier-1 capital to assets,,,,5.61
2015,(1) tier-1 capital to assets,,,,5.94
2016,(1) tier-1 capital to assets,,,,5.98
2017,(1) tier-1 capital to assets,,,,6.33
2018,(1) tier-1 capital to assets,,,,6.47
2019,(1) tier-1 capital to assets,|,r,,6.47
2020,(1) tier-1 capital to assets,r,,,6.57
2021,(1) tier-1 capital to assets,r,,,7.6
2022,(1) tier-1 capital to assets,|,r,,6.98
2023,(1) tier-1 capital to assets,r,,,7.28
2024,(1) tier-1 capital to assets,,,,7.35
2025,(1) tier-1 capital to assets,,,,7.49
2010,(2) regulatory tier 1 capital to risk-weighted assets,,,,11.83
2011,(2) regulatory tier 1 capital to risk-weighted assets,,,,12.14
2012,(2) regulatory tier 1 capital to risk-weighted assets,,,,14.18
2013,(2) regulatory tier 1 capital to risk-weighted assets,,,,15.57
2014,(2) regulatory tier 1 capital to risk-weighted assets,,,,15.35
2015,(2) regulatory tier 1 capital to risk-weighted assets,,,,15.72
2016,(2) regulatory tier 1 capital to risk-weighted assets,,,,16.28
2017,(2) regulatory tier 1 capital to risk-weighted assets,,,,16.93
2018,(2) regulatory tier 1 capital to risk-weighted assets,,,,16.62
2019,(2) regulatory tier 1 capital to risk-weighted assets,|,,,16.54
2020,(2) regulatory tier 1 capital to risk-weighted assets,,,,17.15
2021,(2) regulatory tier 1 capital to risk-weighted assets,,,,16.84
2022,(2) regulatory tier 1 capital to risk-weighted assets,|,,,17.15
2023,(2) regulatory tier 1 capital to risk-weighted assets,,,,17.69
2024,(2) regulatory tier 1 capital to risk-weighted assets,,,,18.25
2025,(2) regulatory tier 1 capital to risk-weighted assets,,,,18.25
2010,(3) non-performing loans net of provisions to capital,,,,34.22
2011,(3) non-performing loans net of provisions to capital,,,,31.63
2012,(3) non-performing loans net of provisions to capital,,,,27.41
2013,(3) non-performing loans net of provisions to capital,,,,24.98
2014,(3) non-performing loans net of provisions to capital,,,,21.28
2015,(3) non-performing loans net of provisions to capital,,,,17.36
2016,(3) non-performing loans net of provisions to capital,,,,14.68
2017,(3) non-performing loans net of provisions to capital,,,,11.89
2018,(3) non-performing loans net of provisions to capital,,,,9.06
2019,(3) non-performing loans net of provisions to capital,|,,,7.43
2020,(3) non-performing loans net of provisions to capital,,,,7.85
2021,(3) non-performing loans net of provisions to capital,,,,6.93
2022,(3) non-performing loans net of provisions to capital,|,,,13.3
2023,(3) non-performing loans net of provisions to capital,,,,16.08
2024,(3) non-performing loans net of provisions to capital,,,,18.58
2025,(3) non-performing loans net of provisions to capital,,,,19.85
2010,(4) non-performing loans to total gross loans,,,,3.2
2011,(4) non-performing loans to total gross loans,,,,3.03
2012,(4) non-performing loans to total gross loans,,,,2.86
2013,(4) non-performing loans to total gross loans,,,,2.7
2014,(4) non-performing loans to total gross loans,,,,2.34
2015,(4) non-performing loans to total gross loans,,,,1.97
2016,(4) non-performing loans to total gross loans,,,,1.71
2017,(4) non-performing loans to total gross loans,,,,1.5
2018,(4) non-performing loans to total gross loans,,,,1.24
2019,(4) non-performing loans to total gross loans,|,,,1.38
2020,(4) non-performing loans to total gross loans,,,,1.68
2021,(4) non-performing loans to total gross loans,,,,1.34
2022,(4) non-performing loans to total gross loans,|,,,1.23
2023,(4) non-performing loans to total gross loans,,,,1.54
2024,(4) non-performing loans to total gross loans,,,,1.77
2025,(4) non-performing loans to total gross loans,,,,1.89
2010,(5) return on assets,,,,0.37
2011,(5) return on assets,,,,0.53
2012,(5) return on assets,,,,0.45
2013,(5) return on assets,,,,0.36
2014,(5) return on assets,,,,0.37
2015,(5) return on assets,,,,0.4
2016,(5) return on assets,,,,0.37
2017,(5) return on assets,,,,0.37
2018,(5) return on assets,,,,0.32
2019,(5) return on assets,|,,,0.24
2020,(5) return on assets,,,,0.16
2021,(5) return on assets,,,,0.34
2022,(5) return on assets,|,,,0.35
2023,(5) return on assets,,,,0.51
2024,(5) return on assets,,,,0.58
2025,(5) return on assets,,,,0.62
2010,(6) liquid assets to short-term liabilities,,,,136.99
2011,(6) liquid assets to short-term liabilities,,,,137.86
2012,(6) liquid assets to short-term liabilities,,,,144.17
2013,(6) liquid assets to short-term liabilities,,,,140.5
2014,(6) liquid assets to short-term liabilities,,,,145.48
2015,(6) liquid assets to short-term liabilities,,,,146.5
2016,(6) liquid assets to short-term liabilities,,,,146.62
2017,(6) liquid assets to short-term liabilities,,,,151.25
2018,(6) liquid assets to short-term liabilities,,,,151.7
2019,(6) liquid assets to short-term liabilities,|,,,161.25
2020,(6) liquid assets to short-term liabilities,,,,169.64
2021,(6) liquid assets to short-term liabilities,,,,33.72
2022,(6) liquid assets to short-term liabilities,|,,,33.67
2023,(6) liquid assets to short-term liabilities,,,,35.66
2024,(6) liquid assets to short-term liabilities,,,,33.46
2025,(6) liquid assets to short-term liabilities,,,,32.41
2010,(7) net open position in foreign exchange to capital,,,,4.4
2011,(7) net open position in foreign exchange to capital,,,,4.48
2012,(7) net open position in foreign exchange to capital,,,,3.93
2013,(7) net open position in foreign exchange to capital,,,,3.84
2014,(7) net open position in foreign exchange to capital,,,,3.95
2015,(7) net open position in foreign exchange to capital,,,,4.62
2016,(7) net open position in foreign exchange to capital,,,,4.0
2017,(7) net open position in foreign exchange to capital,,,,3.67
2018,(7) net open position in foreign exchange to capital,,,,3.19
2019,(7) net open position in foreign exchange to capital,|,,,3.72
2020,(7) net open position in foreign exchange to capital,,,,3.4
2021,(7) net open position in foreign exchange to capital,,,,4.35
2022,(7) net open position in foreign exchange to capital,|,,,3.63
2023,(7) net open position in foreign exchange to capital,,,,2.74
2024,(7) net open position in foreign exchange to capital,,,,2.75
2025,(7) net open position in foreign exchange to capital,,,,2.56
