Year,Units,Type of harassment,Age group,Sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,"Per 100,000 inhabitants",Non-sexual harassment,,,,,,35.3
2011,"Per 100,000 inhabitants",Non-sexual harassment,,,,,,32.9
2012,"Per 100,000 inhabitants",Non-sexual harassment,,,,,,32.2
2013,"Per 100,000 inhabitants",Non-sexual harassment,,,|,,,31.7
2014,"Per 100,000 inhabitants",Non-sexual harassment,,,,,,28.9
2015,"Per 100,000 inhabitants",Non-sexual harassment,,,,,,25.9
2016,"Per 100,000 inhabitants",Non-sexual harassment,,,,,,24.3
2017,"Per 100,000 inhabitants",Non-sexual harassment,,,,,,23.9
2018,"Per 100,000 inhabitants",Non-sexual harassment,,,,,,24.5
2019,"Per 100,000 inhabitants",Non-sexual harassment,,,,,,24.3
2020,"Per 100,000 inhabitants",Non-sexual harassment,,,,,,25.2
2021,"Per 100,000 inhabitants",Non-sexual harassment,,,,,,26.6
2022,"Per 100,000 inhabitants",Non-sexual harassment,,,,,,27.7
2023,"Per 100,000 inhabitants",Non-sexual harassment,,,,,,29.8
2024,"Per 100,000 inhabitants",Non-sexual harassment,,,|,,,32.0
2010,"Per 100,000 inhabitants",Non-sexual harassment,,Female,,,,54.9
2011,"Per 100,000 inhabitants",Non-sexual harassment,,Female,,,,51.4
2012,"Per 100,000 inhabitants",Non-sexual harassment,,Female,,,,51.0
2013,"Per 100,000 inhabitants",Non-sexual harassment,,Female,|,,,49.7
2014,"Per 100,000 inhabitants",Non-sexual harassment,,Female,,,,45.3
2015,"Per 100,000 inhabitants",Non-sexual harassment,,Female,,,,41.0
2016,"Per 100,000 inhabitants",Non-sexual harassment,,Female,,,,38.7
2017,"Per 100,000 inhabitants",Non-sexual harassment,,Female,,,,38.3
2018,"Per 100,000 inhabitants",Non-sexual harassment,,Female,,,,39.2
2019,"Per 100,000 inhabitants",Non-sexual harassment,,Female,,,,39.1
2020,"Per 100,000 inhabitants",Non-sexual harassment,,Female,,,,40.3
2021,"Per 100,000 inhabitants",Non-sexual harassment,,Female,,,,42.0
2022,"Per 100,000 inhabitants",Non-sexual harassment,,Female,,,,44.2
2023,"Per 100,000 inhabitants",Non-sexual harassment,,Female,,,,46.9
2024,"Per 100,000 inhabitants",Non-sexual harassment,,Female,|,,,50.6
2010,"Per 100,000 inhabitants",Non-sexual harassment,,Male,,,,14.9
2011,"Per 100,000 inhabitants",Non-sexual harassment,,Male,,,,13.6
2012,"Per 100,000 inhabitants",Non-sexual harassment,,Male,,,,12.8
2013,"Per 100,000 inhabitants",Non-sexual harassment,,Male,|,,,12.9
2014,"Per 100,000 inhabitants",Non-sexual harassment,,Male,,,,11.7
2015,"Per 100,000 inhabitants",Non-sexual harassment,,Male,,,,10.4
2016,"Per 100,000 inhabitants",Non-sexual harassment,,Male,,,,9.5
2017,"Per 100,000 inhabitants",Non-sexual harassment,,Male,,,,9.2
2018,"Per 100,000 inhabitants",Non-sexual harassment,,Male,,,,9.4
2019,"Per 100,000 inhabitants",Non-sexual harassment,,Male,,,,9.2
2020,"Per 100,000 inhabitants",Non-sexual harassment,,Male,,,,9.8
2021,"Per 100,000 inhabitants",Non-sexual harassment,,Male,,,,10.7
2022,"Per 100,000 inhabitants",Non-sexual harassment,,Male,,,,10.8
2023,"Per 100,000 inhabitants",Non-sexual harassment,,Male,,,,12.1
2024,"Per 100,000 inhabitants",Non-sexual harassment,,Male,|,,,12.9
2010,"Per 100,000 inhabitants",Non-sexual harassment,13 years and younger,,,,,4.3
2011,"Per 100,000 inhabitants",Non-sexual harassment,13 years and younger,,,,,4.1
2012,"Per 100,000 inhabitants",Non-sexual harassment,13 years and younger,,,,,4.3
