Year,Units,Time series,Type of receiver/provider,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2007,"yes=1, no=0",,,,,,(1) Contracting Party to the ITPGRFA,1
2008,"yes=1, no=0",,,,,,(1) Contracting Party to the ITPGRFA,1
2009,"yes=1, no=0",,,,,,(1) Contracting Party to the ITPGRFA,1
2010,"yes=1, no=0",,,,,,(1) Contracting Party to the ITPGRFA,1
2011,"yes=1, no=0",,,,,,(1) Contracting Party to the ITPGRFA,1
2012,"yes=1, no=0",,,,,,(1) Contracting Party to the ITPGRFA,1
2013,"yes=1, no=0",,,,,,(1) Contracting Party to the ITPGRFA,1
2014,"yes=1, no=0",,,,,,(1) Contracting Party to the ITPGRFA,1
2015,"yes=1, no=0",,,,,,(1) Contracting Party to the ITPGRFA,1
2016,"yes=1, no=0",,,,,,(1) Contracting Party to the ITPGRFA,1
2017,"yes=1, no=0",,,,,,(1) Contracting Party to the ITPGRFA,1
2018,"yes=1, no=0",,,,,,(1) Contracting Party to the ITPGRFA,1
2019,"yes=1, no=0",,,,,,(1) Contracting Party to the ITPGRFA,1
2020,"yes=1, no=0",,,,,,(1) Contracting Party to the ITPGRFA,1
2021,"yes=1, no=0",,,,,,(1) Contracting Party to the ITPGRFA,1
2022,"yes=1, no=0",,,,,,(1) Contracting Party to the ITPGRFA,1
2023,"yes=1, no=0",,,,,,(1) Contracting Party to the ITPGRFA,1
2024,"yes=1, no=0",,,,,,(1) Contracting Party to the ITPGRFA,1
2025,"yes=1, no=0",,,,,,(1) Contracting Party to the ITPGRFA,1
2026,"yes=1, no=0",,,,,,(1) Contracting Party to the ITPGRFA,1
2007,"yes=1, no=0",,,,,,(2) Contracting Party to the Nagoya Protocol,0
2008,"yes=1, no=0",,,,,,(2) Contracting Party to the Nagoya Protocol,0
2009,"yes=1, no=0",,,,,,(2) Contracting Party to the Nagoya Protocol,0
2010,"yes=1, no=0",,,,,,(2) Contracting Party to the Nagoya Protocol,0
2011,"yes=1, no=0",,,,,,(2) Contracting Party to the Nagoya Protocol,0
2012,"yes=1, no=0",,,,,,(2) Contracting Party to the Nagoya Protocol,0
2013,"yes=1, no=0",,,,,,(2) Contracting Party to the Nagoya Protocol,0
2014,"yes=1, no=0",,,,,,(2) Contracting Party to the Nagoya Protocol,0
2015,"yes=1, no=0",,,,,,(2) Contracting Party to the Nagoya Protocol,0
2016,"yes=1, no=0",,,,,,(2) Contracting Party to the Nagoya Protocol,1
2017,"yes=1, no=0",,,,,,(2) Contracting Party to the Nagoya Protocol,1
2018,"yes=1, no=0",,,,,,(2) Contracting Party to the Nagoya Protocol,1
2019,"yes=1, no=0",,,,,,(2) Contracting Party to the Nagoya Protocol,1
2020,"yes=1, no=0",,,,,,(2) Contracting Party to the Nagoya Protocol,1
2021,"yes=1, no=0",,,,,,(2) Contracting Party to the Nagoya Protocol,1
