Year,Substance,Bound,Sex,Series,Value
2010,Drugs,,,Inpatient treatment of substance use disorders,37107
2011,Drugs,,,Inpatient treatment of substance use disorders,36848
2012,Drugs,,,Inpatient treatment of substance use disorders,36166
2013,Drugs,,,Inpatient treatment of substance use disorders,40556
2014,Drugs,,,Inpatient treatment of substance use disorders,49795
2015,Drugs,,,Inpatient treatment of substance use disorders,51919
2016,Drugs,,,Inpatient treatment of substance use disorders,52621
2017,Drugs,,,Inpatient treatment of substance use disorders,51806
2018,Drugs,,,Inpatient treatment of substance use disorders,52380
2019,Drugs,,,Inpatient treatment of substance use disorders,53490
2020,Drugs,,,Inpatient treatment of substance use disorders,47082
2021,Drugs,,,Inpatient treatment of substance use disorders,46736
2022,Drugs,,,Inpatient treatment of substance use disorders,45447
2010,Drugs,,Female,Inpatient treatment of substance use disorders,10451
2011,Drugs,,Female,Inpatient treatment of substance use disorders,10607
2012,Drugs,,Female,Inpatient treatment of substance use disorders,10600
2013,Drugs,,Female,Inpatient treatment of substance use disorders,11290
2014,Drugs,,Female,Inpatient treatment of substance use disorders,13280
2015,Drugs,,Female,Inpatient treatment of substance use disorders,13230
2016,Drugs,,Female,Inpatient treatment of substance use disorders,13303
2017,Drugs,,Female,Inpatient treatment of substance use disorders,12881
2018,Drugs,,Female,Inpatient treatment of substance use disorders,12858
2019,Drugs,,Female,Inpatient treatment of substance use disorders,12921
2020,Drugs,,Female,Inpatient treatment of substance use disorders,11381
2021,Drugs,,Female,Inpatient treatment of substance use disorders,11382
2022,Drugs,,Female,Inpatient treatment of substance use disorders,10846
2010,Drugs,,Male,Inpatient treatment of substance use disorders,26656
2011,Drugs,,Male,Inpatient treatment of substance use disorders,26241
2012,Drugs,,Male,Inpatient treatment of substance use disorders,25566
2013,Drugs,,Male,Inpatient treatment of substance use disorders,29266
2014,Drugs,,Male,Inpatient treatment of substance use disorders,36515
2015,Drugs,,Male,Inpatient treatment of substance use disorders,38689
2016,Drugs,,Male,Inpatient treatment of substance use disorders,39318
2017,Drugs,,Male,Inpatient treatment of substance use disorders,38925
2018,Drugs,,Male,Inpatient treatment of substance use disorders,39522
2019,Drugs,,Male,Inpatient treatment of substance use disorders,40569
2020,Drugs,,Male,Inpatient treatment of substance use disorders,35701
2021,Drugs,,Male,Inpatient treatment of substance use disorders,35354
2022,Drugs,,Male,Inpatient treatment of substance use disorders,34601
2010,Drugs,,Unknown,Inpatient treatment of substance use disorders,0
2011,Drugs,,Unknown,Inpatient treatment of substance use disorders,0
2012,Drugs,,Unknown,Inpatient treatment of substance use disorders,0
2013,Drugs,,Unknown,Inpatient treatment of substance use disorders,0
2014,Drugs,,Unknown,Inpatient treatment of substance use disorders,0
2015,Drugs,,Unknown,Inpatient treatment of substance use disorders,0
2016,Drugs,,Unknown,Inpatient treatment of substance use disorders,0
2017,Drugs,,Unknown,Inpatient treatment of substance use disorders,0
2018,Drugs,,Unknown,Inpatient treatment of substance use disorders,0
2019,Drugs,,Unknown,Inpatient treatment of substance use disorders,0
2020,Drugs,,Unknown,Inpatient treatment of substance use disorders,0
2021,Drugs,,Unknown,Inpatient treatment of substance use disorders,0
2022,Drugs,,Unknown,Inpatient treatment of substance use disorders,0
2010,Alcohol and other psychoactive substances,,,Inpatient treatment of substance use disorders,191512
2011,Alcohol and other psychoactive substances,,,Inpatient treatment of substance use disorders,192159
2012,Alcohol and other psychoactive substances,,,Inpatient treatment of substance use disorders,195976
2013,Alcohol and other psychoactive substances,,,Inpatient treatment of substance use disorders,194412
2014,Alcohol and other psychoactive substances,,,Inpatient treatment of substance use disorders,185305
2015,Alcohol and other psychoactive substances,,,Inpatient treatment of substance use disorders,176185
2016,Alcohol and other psychoactive substances,,,Inpatient treatment of substance use disorders,170467
2017,Alcohol and other psychoactive substances,,,Inpatient treatment of substance use disorders,165834
2018,Alcohol and other psychoactive substances,,,Inpatient treatment of substance use disorders,161247
2019,Alcohol and other psychoactive substances,,,Inpatient treatment of substance use disorders,159421
2020,Alcohol and other psychoactive substances,,,Inpatient treatment of substance use disorders,139044
2021,Alcohol and other psychoactive substances,,,Inpatient treatment of substance use disorders,138033
2022,Alcohol and other psychoactive substances,,,Inpatient treatment of substance use disorders,139542
2010,Alcohol and other psychoactive substances,,Female,Inpatient treatment of substance use disorders,49139
2011,Alcohol and other psychoactive substances,,Female,Inpatient treatment of substance use disorders,50796
2012,Alcohol and other psychoactive substances,,Female,Inpatient treatment of substance use disorders,52487
2013,Alcohol and other psychoactive substances,,Female,Inpatient treatment of substance use disorders,51211
2014,Alcohol and other psychoactive substances,,Female,Inpatient treatment of substance use disorders,49460
2015,Alcohol and other psychoactive substances,,Female,Inpatient treatment of substance use disorders,46377
