Year,Type of disease,Sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,,,,,12.74
2011,,,,,,12.41
2012,,,,,,12.17
2013,,,,,,12.19
2014,,,,,,11.72
2015,,,,,,11.93
2016,,,,,,11.73
2017,,,,,,11.43
2018,,,,,,11.43
2019,,,,,,11.02
2020,,,,,,10.94
2021,,,,,,10.85
2022,,,,,,10.89
2023,,,,,,10.72
2024,,,,,,10.5
2010,(a) Diseases of the circulatory system,,,,,4.49
2011,(a) Diseases of the circulatory system,,,,,4.19
2012,(a) Diseases of the circulatory system,,,,,4.15
2013,(a) Diseases of the circulatory system,,,,,4.13
2014,(a) Diseases of the circulatory system,,,,,3.96
2015,(a) Diseases of the circulatory system,,,,,4.08
2016,(a) Diseases of the circulatory system,,,,,3.91
2017,(a) Diseases of the circulatory system,,,,,3.78
2018,(a) Diseases of the circulatory system,,,,,3.8
2019,(a) Diseases of the circulatory system,,,,,3.59
2020,(a) Diseases of the circulatory system,,,,,3.63
2021,(a) Diseases of the circulatory system,,,,,3.71
2022,(a) Diseases of the circulatory system,,,,,3.69
2023,(a) Diseases of the circulatory system,,,,,3.63
2024,(a) Diseases of the circulatory system,,,,,3.5
2010,(b) Malignant neoplasms,,,,,7.6
2011,(b) Malignant neoplasms,,,,,7.53
2012,(b) Malignant neoplasms,,,,,7.35
2013,(b) Malignant neoplasms,,,,,7.3
2014,(b) Malignant neoplasms,,,,,7.04
2015,(b) Malignant neoplasms,,,,,7.04
2016,(b) Malignant neoplasms,,,,,7.02
2017,(b) Malignant neoplasms,,,,,6.78
2018,(b) Malignant neoplasms,,,,,6.75
2019,(b) Malignant neoplasms,,,,,6.57
2020,(b) Malignant neoplasms,,,,,6.47
2021,(b) Malignant neoplasms,,,,,6.31
2022,(b) Malignant neoplasms,,,,,6.28
2023,(b) Malignant neoplasms,,,,,6.13
2024,(b) Malignant neoplasms,,,,,6.01
2010,(c) Diabetes mellitus,,,,,0.35
2011,(c) Diabetes mellitus,,,,,0.35
2012,(c) Diabetes mellitus,,,,,0.35
2013,(c) Diabetes mellitus,,,,,0.36
2014,(c) Diabetes mellitus,,,,,0.33
2015,(c) Diabetes mellitus,,,,,0.35
2016,(c) Diabetes mellitus,,,,,0.34
2017,(c) Diabetes mellitus,,,,,0.36
2018,(c) Diabetes mellitus,,,,,0.35
2019,(c) Diabetes mellitus,,,,,0.34
2020,(c) Diabetes mellitus,,,,,0.35
2021,(c) Diabetes mellitus,,,,,0.35
2022,(c) Diabetes mellitus,,,,,0.35
2023,(c) Diabetes mellitus,,,,,0.34
2024,(c) Diabetes mellitus,,,,,0.35
2010,(d) Chronic respiratory disease,,,,,0.78
2011,(d) Chronic respiratory disease,,,,,0.79
2012,(d) Chronic respiratory disease,,,,,0.75
2013,(d) Chronic respiratory disease,,,,,0.84
2014,(d) Chronic respiratory disease,,,,,0.79
2015,(d) Chronic respiratory disease,,,,,0.88
2016,(d) Chronic respiratory disease,,,,,0.86
2017,(d) Chronic respiratory disease,,,,,0.9
2018,(d) Chronic respiratory disease,,,,,0.92
2019,(d) Chronic respiratory disease,,,,,0.9
2020,(d) Chronic respiratory disease,,,,,0.85
2021,(d) Chronic respiratory disease,,,,,0.83
2022,(d) Chronic respiratory disease,,,,,0.93
2023,(d) Chronic respiratory disease,,,,,0.96
2024,(d) Chronic respiratory disease,,,,,0.97
2010,,Female,,,,9.19
2011,,Female,,,,9.19
2012,,Female,,,,8.94
2013,,Female,,,,9.03
2014,,Female,,,,8.73
2015,,Female,,,,8.86
2016,,Female,,,,8.79
2017,,Female,,,,8.63
2018,,Female,,,,8.67
2019,,Female,,,,8.38
2020,,Female,,,,8.22
2021,,Female,,,,8.15
2022,,Female,,,,8.31
2023,,Female,,,,8.22
2024,,Female,,,,8.0
2010,(a) Diseases of the circulatory system,Female,,,,2.39
2011,(a) Diseases of the circulatory system,Female,,,,2.32
2012,(a) Diseases of the circulatory system,Female,,,,2.26
2013,(a) Diseases of the circulatory system,Female,,,,2.3
2014,(a) Diseases of the circulatory system,Female,,,,2.23
2015,(a) Diseases of the circulatory system,Female,,,,2.26
2016,(a) Diseases of the circulatory system,Female,,,,2.16
2017,(a) Diseases of the circulatory system,Female,,,,2.05
2018,(a) Diseases of the circulatory system,Female,,,,2.11
2019,(a) Diseases of the circulatory system,Female,,,,1.96
2020,(a) Diseases of the circulatory system,Female,,,,1.95
2021,(a) Diseases of the circulatory system,Female,,,,2.02
2022,(a) Diseases of the circulatory system,Female,,,,2.04
2023,(a) Diseases of the circulatory system,Female,,,,2.02
2024,(a) Diseases of the circulatory system,Female,,,,1.93
2010,(b) Malignant neoplasms,Female,,,,6.25
2011,(b) Malignant neoplasms,Female,,,,6.3
2012,(b) Malignant neoplasms,Female,,,,6.13
2013,(b) Malignant neoplasms,Female,,,,6.1
2014,(b) Malignant neoplasms,Female,,,,5.92
2015,(b) Malignant neoplasms,Female,,,,5.94
2016,(b) Malignant neoplasms,Female,,,,5.97
2017,(b) Malignant neoplasms,Female,,,,5.85
2018,(b) Malignant neoplasms,Female,,,,5.82
2019,(b) Malignant neoplasms,Female,,,,5.69
2020,(b) Malignant neoplasms,Female,,,,5.57
2021,(b) Malignant neoplasms,Female,,,,5.46
2022,(b) Malignant neoplasms,Female,,,,5.52
