Year,Units,Art des Finanzstroms,Art der öffentlichen Entwicklungsleistung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,915.979
2011,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,809.223
2012,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,740.52
2013,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,835.927
2014,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,1115.451
2015,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,1578.019
2016,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,1278.447
2017,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,2141.104
2018,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,1733.447
2019,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,1873.352
2020,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,3043.442
2021,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,2889.194
2022,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,2922.855
2023,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,3486.589
2024,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,2512.359
2010,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,674.991
2011,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,703.802
2012,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,743.479
2013,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,819.911
2014,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,929.041
2015,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,1301.967
2016,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,1210.381
2017,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,1536.772
2018,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,1777.038
2019,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,1571.422
2020,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,2213.092
2021,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,2363.1
2022,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,2751.262
2023,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,2322.643
2024,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,3495.474
2010,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,0.0
2011,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,0.0
2012,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,0.0
2013,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,0.0
2014,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,0.0
2015,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,0.0
2016,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,0.0
2017,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,0.0
2018,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,373.855
2019,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,155.77
2020,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,182.196
2021,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,52.668
2022,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,50.0
2023,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,0.0
2024,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,0.0
2010,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,0.0
2011,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,0.0
2012,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,0.0
2013,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,0.0
2014,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,0.0
2015,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,0.0
2016,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,0.0
2017,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,0.0
2018,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,373.855
2019,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,155.77
2020,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,182.196
2021,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,52.668
2022,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,50.0
2023,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,0.0
2024,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,0.0
2010,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,1405.173
2011,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,1226.298
2012,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,1106.311
2013,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,1224.397
2014,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,1603.408
2015,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,2229.462
2016,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,1783.725
2017,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,2944.007
2018,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,2339.682
2019,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,2478.61
2020,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,3957.389
2021,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,3658.377
2022,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,3477.692
2023,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,3888.109
2024,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,2717.239
2010,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,1035.482
2011,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,1066.543
2012,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,1110.732
2013,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,1200.938
2014,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,1335.452
